grade,similarity_percentage,gene_code,virus_name,gene_name,host_name,virus_lineage,host_lineage
-12.0,0.17679558011049723,NP_954902.1,Bovine alphaherpesvirus 5,UL46 tegument protein,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-29.0,0.16363636363636364,YP_009140600.1,Synechococcus phage ACG-2014b,putative short tail fiber,Synechococcus sp. WH 7803,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-32.0,0.19047619047619047,YP_009188996.1,Cronobacter phage PBES 02,putative tail fiber protein 1,Cronobacter sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Vequintavirinae; Cr3virus; Cronobacter virus PBES02",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
-22.0,0.18681318681318682,YP_009046598.1,Falconid herpesvirus 1,virion protein US10,Falco mexicanus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Mardivirus; Columbid alphaherpesvirus 1",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Falconiformes; Falconidae; Falco
-38.0,0.1787709497206704,YP_009007371.1,Mycobacterium phage Oaker,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Barnyardvirus; unclassified Barnyardvirus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-22.0,0.18681318681318682,YP_009353008.1,Columbid alphaherpesvirus 1,virion protein US10,Columba livia,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Mardivirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Columbiformes; Columbidae; Columba
-19.0,0.18562874251497005,NP_899590.1,Vibrio phage KVP40,baseplate wedge tail fiber connector,Vibrio,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Schizot4virus; Vibrio virus KVP40",Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
-23.0,0.19339622641509435,YP_006489142.1,Acinetobacter phage ZZ1,short tail fibers protein,Acinetobacter,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae
1.0,0.18023255813953487,YP_009002734.1,Mycobacterium phage Validus,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Tm4virus; unclassified Tm4virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-20.0,0.20603015075376885,CAA06105.1,Bovine herpesvirus type 1.1,ICP18.5 assembly protein,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-39.0,0.1791044776119403,YP_068382.1,Suid alphaherpesvirus 1,transcriptional regulator ICP4,Sus scrofa,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Suina; Suidae; Sus
-44.0,0.14545454545454545,YP_004508398.1,Clostridium phage phiCD38-2,tail fiber protein,Clostridiales,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Bacteria; Firmicutes; Clostridia
-14.0,0.20098039215686275,AIQ80698.1,Bovine herpesvirus type 1.2 strain B589,tegument serine/threonine protein kinase,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-35.0,0.15757575757575756,YP_009325079.1,Synechococcus phage S-WAM1,baseplate wedge tail fiber connector,Synechococcus sp.,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
-4.0,0.19796954314720813,YP_002003532.1,Escherichia phage V5,tail fiber protein,Escherichia coli O157,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Vequintavirinae; V5virus; Escherichia virus V5",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-26.0,0.17647058823529413,YP_009304587.1,Mycobacterium phage ArcherNM,tape measure protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; L5virus; unclassified L5virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-30.0,0.1497005988023952,YP_009153849.1,Yersinia phage PST,hinge connector of long tail fiber distal connector,Yersinia pseudotuberculosis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Yersinia virus PST",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex
-13.0,0.164021164021164,YP_009194511.1,Klebsiella phage Matisse,hinge connector of long tail fiber proximal connector,Klebsiella pneumoniae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; Klebsiella virus Matisse",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
-13.0,0.1907514450867052,YP_009287703.1,Propionibacterium phage PFR1,hypothetical protein,Propionibacterium freudenreichii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Pfr1virus; Propionibacterium virus PFR1",Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Propionibacterium
-25.0,0.19680851063829788,YP_453666.1,Xanthomonas phage OP2,putative dUTPase,Xanthomonas,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bcep78virus; Xanthomonas virus OP2",Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
-27.0,0.1797752808988764,YP_002941880.1,Mycobacterium phage Angel,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Liefievirus; unclassified Liefievirus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-41.0,0.16477272727272727,YP_007006956.1,Pectobacterium phage ZF40,hypothetical protein,Pectobacterium carotovorum,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium
-34.0,0.18823529411764706,YP_004010116.1,Enterobacter phage CC31,gp38 distal long tail fiber assembly catalyst,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Cc31virus; Escherichia virus CC31",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-40.0,0.19889502762430938,CAA06143.1,Bovine herpesvirus type 1.1,virion serine/threonine protein kinase,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-31.0,0.18134715025906736,AFM54903.1,Mycobacterium virus Astro,hypothetical protein,Mycolicibacterium smegmatis MC2 155,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; L5virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
-19.0,0.21052631578947367,YP_001111253.1,Burkholderia virus phiE255,gp53,Burkholderia thailandensis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bcepmuvirus",Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
-30.0,0.18604651162790697,YP_004300826.1,Acinetobacter virus 133,gp34 proximal tail fiber subunit,Acinetobacter johnsonii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unassigned Tevenvirinae",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
-6.0,0.20606060606060606,YP_007501189.1,Salmonella phage vB_SenMS16,short tail fiber,Salmonella enterica,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; S16virus; Salmonella virus S16",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
-37.0,0.17801047120418848,BAL04330.1,Enterococcus phage phiEF24C-P2,structural component of the tail fiber,Enterococcus faecalis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Spounavirinae; unassigned Spounavirinae; Enterococcus virus phiEC24C; Enterococcus phage phiEF24C",Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
-15.0,0.21164021164021163,NP_803303.1,Staphylococcus virus 11,tail fiber,Staphylococcus aureus subsp. aureus NCTC 8325,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phietavirus",Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus
-44.0,0.1774193548387097,AIK67520.1,Cronobacter phage vB_CsaP_Ss1,tail fiber protein,Cronobacter sakazakii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
-2.0,0.2198952879581152,AIQ80864.1,Bovine herpesvirus type 1.2 strain SP1777,transcriptional regulator ICP4,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-11.0,0.19576719576719576,YP_009146081.1,Salmonella virus Stitch,L-shaped tail fiber protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; T5virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-8.0,0.20918367346938777,NP_049861.1,Escherichia virus T4,"gp35 hinge connector of long tail fiber, proximal connector",Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-16.0,0.21164021164021163,YP_008320258.1,Staphylococcus phage SA13,putative tail fiber,Staphylococcus aureus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Phietavirus; unclassified Phietalikevirus",Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1.0,0.20320855614973263,YP_009220087.1,Brevibacillus phage Abouo,putative tail fiber protein,Brevibacillus laterosporus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Abouovirus; Brevibacillus virus Abouo",Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
-51.0,0.16666666666666666,YP_009293219.1,Erwinia phage vB_EamM_Huxley,putative tail fiber protein,Erwinia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Spn3virus; unclassified Spn3virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae
3.0,0.1642512077294686,ADJ39877.1,Enterobacteria phage T4T,short tail fibers,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Escherichia virus T4",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-37.0,0.17777777777777778,YP_512273.1,Escherichia phage phiV10,hypothetical protein,Escherichia coli O157:H7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Epsilon15virus; Escherichia virus phiV10",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-12.0,0.20958083832335328,YP_006560928.1,Celeribacter phage P12053L,hypothetical protein,Celeribacter,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; unclassified Caudovirales",Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
-30.0,0.21341463414634146,YP_003858559.1,Escherichia virus RB16,gp37 large distal tail fiber subunit,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; unclassified Kp15virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-35.0,0.18502202643171806,AIQ80761.1,Bovine herpesvirus type 1.2 strain SM023,envelope protein UL20,Bos taurus,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus; Bovine alphaherpesvirus 1; Bovine herpesvirus type 1.2",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Ruminantia; Pecora; Bovidae; Bovinae; Bos
-44.0,0.18023255813953487,AEW47699.1,Bacillus phage BCU4,putative tail fiber 2,Bacillus cereus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Spounavirinae; Tsarbombavirus; Bacillus virus BCP78",Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
-35.0,0.15476190476190477,YP_009148728.1,Citrobacter virus Stevie,tail fiber protein,Citrobacter freundii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Tunavirinae; Tlsvirus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
-24.0,0.16184971098265896,YP_007007802.1,Aeromonas phage phiAS7,putative tail fiber protein,Aeromonas salmonicida subsp. salmonicida,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified Autographivirinae",Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas salmonicida
7.0,0.18823529411764706,YP_009291473.1,Escherichia phage Gluttony,tail fiber protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Hk578virus; unclassified Hk578virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-31.0,0.17553191489361702,AIT74861.1,Enterobacteria phage RB33,RNA ligase 1 and tail fiber attachment catalyst,Escherichia coli B,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-32.0,0.15568862275449102,NP_612723.1,Panine betaherpesvirus 2,protein UL91,Pan troglodytes,"Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Betaherpesvirinae; Cytomegalovirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan
-26.0,0.1781609195402299,YP_009168066.1,Escherichia phage AR1,tail fiber protein,Escherichia coli O157:H7,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Escherichia virus AR1",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-27.0,0.1317365269461078,NP_665952.1,Natrialba phage PhiCh1,hypothetical protein,Natrialba magadii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Archaea; Euryarchaeota; Halobacteria; Natrialbales; Natrialbaceae; Natrialba
-40.0,0.18072289156626506,YP_009146797.1,Acinetobacter phage YMC13/03/R2096,putative tail fiber protein,Acinetobacter,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae
-32.0,0.1488095238095238,NP_891821.1,Enterobacteria phage RB49,hinge connector of long tail fiber distal connector,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Rb49virus; Escherichia virus RB49",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-33.0,0.21052631578947367,YP_009212342.1,Sinorhizobium phage phiN3,tail fiber assembly protein,Sinorhizobium meliloti,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; M12virus; Sinorhizobium virus N3",Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium
-25.0,0.18128654970760233,AFK13431.1,Yersinia phage YpP-R,tail fiber protein / T7-like tail tubular protein A,Yersinia pestis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus; unclassified T7virus; Yersinia phage phiA1122",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex
-31.0,0.14035087719298245,NP_892072.1,Yersinia phage PY54,tail fiber assembly protein,Yersinia enterocolitica,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
-25.0,0.19101123595505617,YP_007905997.1,Simian mastadenovirus C,IX,Simiiformes,"Viruses; dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus",Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Primates; Haplorrhini
-21.0,0.19428571428571428,YP_009202532.1,Mycobacterium phage Phatniss,tapemeasure,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; unclassified Che8virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-17.0,0.1827956989247312,YP_009005534.1,Enterobacter phage PG7,hinge connector of long tail fiber proximal connector,Enterobacter cloacae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Cc31virus; Enterobacter virus PG7",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
-9.0,0.18181818181818182,YP_009323359.1,Escherichia phage WG01,baseplate wedge tail fiber,Escherichia,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; unclassified Js98virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-22.0,0.21164021164021163,YP_009187170.1,Mycobacterium phage Sparkdehlily,tape measure,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Che8virus; unclassified Che8virus",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-25.0,0.17575757575757575,AIX40183.1,Synechococcus phage ACG-2014a,putative short tail fiber,Synechococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae
-46.0,0.1724137931034483,YP_006907322.1,Bacillus phage Bastille,minor structural protein/ putative tail fiber,Bacillus cereus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bastillevirus; Bacillus virus Bastille",Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
0.0,0.2023121387283237,YP_002922504.1,Enterobacteria phage JS10,gp12 Short tail fibers,Enterobacterales,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Js98virus; Escherichia virus JS10",Bacteria; Proteobacteria; Gammaproteobacteria
-40.0,0.12727272727272726,YP_007238069.1,Erwinia phage ENT90,conserved hypothetical tail fiber protein,Erwinia amylovora,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; P2virus; unclassified P2virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
-44.0,0.17964071856287425,YP_009481883.1,Pandoravirus neocaledonia,hypothetical protein,Acanthamoeba sp.,"Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses; Pandoravirus",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba
-27.0,0.19047619047619047,YP_009168663.1,Staphylococcus phage SA1,putative tail fiber protein,Staphylococcus aureus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ounavirinae; unclassified Ounavirinae",Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
-26.0,0.1524390243902439,YP_007676433.1,Rhodovulum phage RS1,tail fiber protein,Rhodovulum,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
-4.0,0.1827956989247312,YP_006560312.1,Weissella phage phiYS61,hypothetical protein,Weissella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Picovirinae; unclassified Picovirinae",Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae
-33.0,0.14204545454545456,YP_009030833.1,Escherichia phage vB_EcoM_112,RNA ligase 1 and tail fiber attachment catalyst,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; Escherichia virus E112",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
